"Year","Tournament","Round","Player_1","Player_2","W/L_P1","Result","Sets_P1","Sets_P2"
"2016","Australian Open","S","Roger Federer","Novak Djokovic","L","1-6, 2-6, 6-3, 3-6","1","3"
"2015","ATP WT Finals","F","Roger Federer","Novak Djokovic","L","3-6, 4-6","0","2"
"2015","ATP WT Finals","RR","Roger Federer","Novak Djokovic","W","7-5, 6-2","2","0"
"2015","US Open","F","Roger Federer","Novak Djokovic","L","4-6, 7-5, 4-6, 4-6","1","3"
"2015","Cincinnati Masters 1000","F","Roger Federer","Novak Djokovic","W","7-6, 6-3","2","0"
"2015","Wimbledon","F","Roger Federer","Novak Djokovic","L","6-7, 7-6, 4-6, 3-6","1","3"
"2015","Rome Masters 1000","F","Roger Federer","Novak Djokovic","L","4-6, 3-6","0","2"
"2015","Indian Wells Masters 1000","F","Roger Federer","Novak Djokovic","L","3-6, 7-6, 2-6","1","2"
"2015","Dubai Masters 500","F","Roger Federer","Novak Djokovic","W","6-3, 7-5","2","0"
"2014","ATP WT Finals","F","Roger Federer","Novak Djokovic","L","WO","0","0"
"2014","Shanghai Masters 1000","S","Roger Federer","Novak Djokovic","W","6-4, 6-4","2","0"
"2014","Wimbledon","F","Roger Federer","Novak Djokovic","L","7-6, 4-6, 6-7, 7-5, 4-6","2","3"
"2014","Monte Carlo Masters 1000","S","Roger Federer","Novak Djokovic","W","7-5, 6-2","2","0"
"2014","Indian Wells Masters 1000","F","Roger Federer","Novak Djokovic","L","6-3, 3-6, 6-7","1","2"
"2014","Dubai Masters 500","S","Roger Federer","Novak Djokovic","W","3-6, 6-3, 6-2","2","1"
"2013","ATP WT Finals","RR","Roger Federer","Novak Djokovic","L","4-6, 7-6, 2-6","1","2"
"2013","Paris Masters 1000","S","Roger Federer","Novak Djokovic","L","6-4, 3-6, 2-6","1","2"
"2012","ATP WT Finals","F","Roger Federer","Novak Djokovic","L","6-7, 5-7","0","2"
"2012","Cincinnati Masters 1000","F","Roger Federer","Novak Djokovic","W","6-0, 7-6(7)","2","0"
"2012","Wimbledon","S","Roger Federer","Novak Djokovic","W","6-3, 3-6, 6-4, 6-3","3","1"
"2012","Roland Garros","S","Roger Federer","Novak Djokovic","L","4-6, 5-7, 3-6","0","3"
"2012","Rome Masters 1000","S","Roger Federer","Novak Djokovic","L","2-6, 6-7","0","2"
"2011","US Open","S","Roger Federer","Novak Djokovic","L","7-6, 6-4, 3-6, 2-6, 5-7","2","3"
"2011","Roland Garros","S","Roger Federer","Novak Djokovic","W","7-6(5), 6-3, 3-6, 7-6(5)","3","1"
"2011","Indian Wells Masters 1000","S","Roger Federer","Novak Djokovic","L","3-6, 6-3, 2-6","1","2"
"2011","Dubai Masters 500","F","Roger Federer","Novak Djokovic","L","3-6, 3-6","0","2"
"2011","Australian Open","S","Roger Federer","Novak Djokovic","L","6-7, 5-7, 4-6","0","3"
"2010","ATP WT Finals","S","Roger Federer","Novak Djokovic","W","6-1, 6-4","2","0"
"2010","Basel Masters 500","F","Roger Federer","Novak Djokovic","W","6-4, 3-6, 6-1","2","1"
"2010","Shanghai Masters 1000","S","Roger Federer","Novak Djokovic","W","7-5, 6-4","2","0"
"2010","US Open","S","Roger Federer","Novak Djokovic","L","7-5, 1-6, 7-5, 2-6, 5-7","2","3"
"2010","Toronto Masters 1000","S","Roger Federer","Novak Djokovic","W","6-1, 3-6, 7-5","2","1"
"2009","Basel Masters 500","F","Roger Federer","Novak Djokovic","L","4-6, 6-4, 2-6","1","2"
"2009","US Open","S","Roger Federer","Novak Djokovic","W","7-6(3), 7-5, 7-5","3","0"
"2009","Cincinnati Masters 1000","F","Roger Federer","Novak Djokovic","W","6-1, 7-5","2","0"
"2009","Rome Masters 1000","S","Roger Federer","Novak Djokovic","L","6-4, 3-6, 3-6","1","2"
"2009","Miami Masters 1000","S","Roger Federer","Novak Djokovic","L","6-3, 2-6, 3-6","1","2"
"2008","US Open","S","Roger Federer","Novak Djokovic","W","6-3, 5-7, 7-5, 6-2","3","1"
"2008","Monte Carlo Masters 1000","S","Roger Federer","Novak Djokovic","W","6-3, 3-2 RET","2","0"
"2008","Australian Open","S","Roger Federer","Novak Djokovic","L","5-7, 3-6, 6-7","0","3"
"2007","US Open","F","Roger Federer","Novak Djokovic","W","7-6(4), 7-6(2), 6-4","3","0"
"2007","Montreal Masters 1000","F","Roger Federer","Novak Djokovic","L","6-7, 6-2, 6-7","1","2"
"2007","Dubai Masters 500","Q","Roger Federer","Novak Djokovic","W","6-3, 6-7(6), 6-3","2","1"
"2007","Australian Open","R16","Roger Federer","Novak Djokovic","W","6-2, 7-5, 6-3","3","0"
"2006","Monte Carlo Masters 1000","R64","Roger Federer","Novak Djokovic","W","6-3, 2-6, 6-3","2","1"
"2016","Rome Masters 1000","F","Andy Murray","Novak Djokovic","W","6-3, 6-3","2","0"
"2016","Madrid Masters 1000","F","Andy Murray","Novak Djokovic","L","2-6, 6-3, 3-6","1","2"
"2016","Australian Open","F","Andy Murray","Novak Djokovic","L","1-6, 5-7, 6-7","0","3"
"2015","Paris Masters 1000","F","Andy Murray","Novak Djokovic","L","2-6, 4-6","0","2"
