"id","Year","Tournament","Round","Player","Opponent"
1,2015,"Washington Masters 500","R16","Alexander Zverev","Alexandr Dolgopolov"
2,2016,"Australian Open","R128","Alexander Zverev","Andy Murray"
3,2015,"Cincinnati Masters","R64","Alexander Zverev","Borna Coric"
4,2014,"Hamburg Masters 500","S","Alexander Zverev","David Ferrer"
5,2016,"Munich Masters 250","Q","Alexander Zverev","David Goffin"
6,2016,"Nice Masters 250","F","Alexander Zverev","Dominic Thiem"
7,2016,"Munich Masters 250","S","Alexander Zverev","Dominic Thiem"
8,2016,"Rotterdam Masters 500","Q","Alexander Zverev","Gael Monfils"
9,2015,"Marseille Masters 250","R32","Alexander Zverev","Gael Monfils"
10,2016,"Nice Masters 250","Q","Alexander Zverev","Gilles Simon"
11,2016,"Indian Wells Masters","R32","Alexander Zverev","Gilles Simon"
12,2016,"Rotterdam Masters 500","R16","Alexander Zverev","Gilles Simon"
13,2016,"Italian Open","R64","Alexander Zverev","Grigor Dimitrov"
14,2016,"Indian Wells Masters","R64","Alexander Zverev","Grigor Dimitrov"
15,2014,"Basel Masters 500","R32","Alexander Zverev","Grigor Dimitrov"
16,2015,"Halle Masters 500","R16","Alexander Zverev","Ivo Karlovic"
17,2015,"Kuala Lumpur Masters 250","R32","Alexander Zverev","Jeremy Chardy"
18,2016,"Nice Masters 250","S","Alexander Zverev","Joao Sousa"
19,2015,"Washington Masters 500","R32","Alexander Zverev","Kevin Anderson"
20,2015,"Nottingham Masters 250","R16","Alexander Zverev","Marcos Baghdatis"
21,2016,"Montpellier Masters 250","R16","Alexander Zverev","Marin Cilic"
22,2015,"Washington Masters 500","Q","Alexander Zverev","Marin Cilic"
23,2015,"US Open","R128","Alexander Zverev","Philipp Kohlschreiber"
24,2015,"Munich Masters 250","R16","Alexander Zverev","Philipp Kohlschreiber"
25,2016,"Indian Wells Masters","R16","Alexander Zverev","Rafael Nadal"
26,2015,"Rotterdam Masters 500","R32","Alexander Zverev","Roberto Bautista Agut"
27,2013,"Hamburg Masters 500","R64","Alexander Zverev","Roberto Bautista Agut"
28,2016,"Miami Open","R64","Alexander Zverev","Steve Johnson"
29,2016,"Marseille Masters 250","R16","Alexander Zverev","Tomas Berdych"
30,2015,"Stockholm Masters 250","R16","Alexander Zverev","Tomas Berdych"
31,2016,"Rotterdam Masters 500","R32","Alexander Zverev","Vasek Pospisil"
32,2015,"Stuttgart Masters 250","R16","Alexander Zverev","Viktor Troicki"
33,2016,"Miami Open","R64","Alexandr Dolgopolov","Andreas Seppi"
34,2012,"Madrid Open","R32","Alexandr Dolgopolov","Andreas Seppi"
35,2011,"Miami Open","R64","Alexandr Dolgopolov","Andreas Seppi"
36,2010,"Madrid Open","R64","Alexandr Dolgopolov","Andreas Seppi"
37,2012,"Shanghai Masters","R16","Alexandr Dolgopolov","Andy Murray"
38,2012,"Brisbane Masters 250","F","Alexandr Dolgopolov","Andy Murray"
39,2011,"Australian Open","Q","Alexandr Dolgopolov","Andy Murray"
40,2012,"Wimbledon","R64","Alexandr Dolgopolov","Benoit Paire"
41,2016,"Acapulco Masters 500","S","Alexandr Dolgopolov","Bernard Tomic"
42,2015,"Cincinnati Masters","R32","Alexandr Dolgopolov","Bernard Tomic"
43,2015,"Memphis Masters 250","R16","Alexandr Dolgopolov","Bernard Tomic"
44,2014,"Sydney Masters 250","Q","Alexandr Dolgopolov","Bernard Tomic"
45,2013,"Monte Carlo Masters","R64","Alexandr Dolgopolov","Bernard Tomic"
46,2012,"Monte Carlo Masters","R32","Alexandr Dolgopolov","Bernard Tomic"
47,2012,"Australian Open","R32","Alexandr Dolgopolov","Bernard Tomic"
48,2011,"Shanghai Masters","R16","Alexandr Dolgopolov","Bernard Tomic"
49,2011,"Sydney Masters 250","R32","Alexandr Dolgopolov","Bernard Tomic"
50,2010,"Brisbane Masters 250","R32","Alexandr Dolgopolov","Bernard Tomic"
51,2015,"Shanghai Masters","R64","Alexandr Dolgopolov","Borna Coric"
52,2015,"Monte Carlo Masters","R64","Alexandr Dolgopolov","Borna Coric"
53,2016,"Acapulco Masters 500","R16","Alexandr Dolgopolov","David Ferrer"
54,2015,"Paris Masters","R32","Alexandr Dolgopolov","David Ferrer"
55,2014,"Rio de Janeiro Masters 500","S","Alexandr Dolgopolov","David Ferrer"
56,2014,"Doha Masters 250","R32","Alexandr Dolgopolov","David Ferrer"
