"Name","Country","Ranking_Points","Age","Height","Weight","Plays","Backhand","Turned_Pro","Career_Titles","Prize_Money_Earned","Coach"
"Novak Djokovic","Serbia",16150,29,188,78,"Right-Handed","Two-Handed",2003,64,99673404,"Boris Becker"
"Andy Murray","Great Britain",8435,29,191,84,"Right-Handed","Two-Handed",2005,36,45157463,"Jamie Delgado"
"Roger Federer","Switzerland",7015,34,185,85,"Right-Handed","One-Handed",1998,88,98011727,"Severin Luthi"
"Stanislas Wawrinka","Switzerland",6315,31,183,81,"Right-Handed","One-Handed",2002,14,22066271,"Magnus Norman"
"Rafael Nadal","Spain",5675,29,185,85,"Left-Handed","Two-Handed",2001,69,78109778,"Toni Nadal"
"Kei Nishikori","Japan",4470,26,178,75,"Right-Handed","Two-Handed",2007,11,13061719,"Dante Bottini"
"Jo-Wilfried Tsonga","France",3355,31,188,91,"Right-Handed","Two-Handed",2004,12,17312083,"Thierry Ascione"
"Tomas Berdych","Czech Republic",2850,30,196,91,"Right-Handed","Two-Handed",2002,12,24621176,"Daniel Vallverdu"
"Milos Raonic","Canada",2785,25,196,98,"Right-Handed","Two-Handed",2008,8,10295446,"Riccardo Piatti"
"Marin Cilic","Croatia",2775,27,198,89,"Right-Handed","Two-Handed",2005,14,13824520,"Goran Ivanisevic"
"David Ferrer","Spain",2740,34,175,73,"Right-Handed","Two-Handed",2000,26,28921094,"Francisco Fogues"
"Richard Gasquet","France",2725,29,185,75,"Right-Handed","One-Handed",2002,13,13888515,"Segi Bruguera"
"David Goffin","Belgium",2570,25,180,68,"Right-Handed","Two-Handed",2009,2,3644590,"Thierry Van Cleemput"
"Gael Monfils","France",2470,29,193,80,"Right-Handed","Two-Handed",2004,5,10489428,"Mikael Tillstrom"
"Dominic Thiem","Austria",2430,22,185,82,"Right-Handed","One-Handed",2011,6,3105805,"Joakim Nystrom"
"Roberto Bautista Agut","Spain",2015,28,183,76,"Right-Handed","Two-Handed",2005,4,4406509,"Pepe Vendrell"
"John Isner","USA",1965,31,208,108,"Right-Handed","Two-Handed",2007,10,9447024,"Justin Gimelstob"
"Gilles Simon","France",1945,31,183,70,"Right-Handed","Two-Handed",2002,12,11030470,"Jan De Witt"
"Nick Kyrgios","Australia",1855,21,193,85,"Right-Handed","Two-Handed",2013,1,2592076,"Lleyton Hewitt"
"Kevin Anderson","South Africa",1840,30,203,89,"Right-Handed","Two-Handed",2007,3,6849856,"Neville Godwin"
"Benoit Paire","France",1641,27,196,80,"Right-Handed","Two-Handed",2007,1,3624480,"Lionel Zimbler"
"Bernard Tomic","Australia",1625,23,196,91,"Right-Handed","Two-Handed",2008,3,4041665,"John Tomic"
"Feliciano Lopez","Spain",1550,34,188,85,"Left-Handed","One-Handed",1997,4,11799484,"José Manuel ""Pepo"" Clavet"
"Viktor Troicki","Serbia",1535,30,193,86,"Right-Handed","Two-Handed",2006,3,6313624,"Jack Reader"
"Jack Sock","USA",1505,23,191,84,"Right-Handed","Two-Handed",2011,1,3537592,"Troy Hahn"
"Philipp Kohlschreiber","Germany",1485,32,178,70,"Right-Handed","One-Handed",2001,7,9122008,"Stephan Fehske"
"Pablo Cuevas","Uruguay",1450,30,180,80,"Right-Handed","One-Handed",2004,5,4436344,"Alberto Mancini"
"Ivo Karlovic","Croatia",1280,37,211,104,"Right-Handed","One-Handed",2000,6,6976553,"Petar Popovic"
"Joao Sousa","Portugal",1275,27,185,73,"Right-Handed","Two-Handed",2005,2,2903923,"Frederico Marques"
"Alexandr Dolgopolov","Ukraine",1270,27,180,71,"Right-Handed","Two-Handed",2006,2,5740083,"Felix Mantilla"
"Lucas Pouille","France",1266,22,185,81,"Right-Handed","Two-Handed",2012,0,1242223,"Emmanuel Planque"
"Jeremy Chardy","France",1265,29,188,75,"Right-Handed","Two-Handed",2005,1,6054408,"Magnus Tideman"
"Fabio Fognini","Italy",1205,29,178,74,"Right-Handed","Two-Handed",2004,3,7371897,"Jose Perlas"
"Steve Johnson","USA",1190,26,188,86,"Right-Handed","Two-Handed",2012,0,2396618,"Craig Boynton"
"Federico Delbonis","Argentina",1165,25,191,88,"Left-Handed","Two-Handed",2007,2,2076174,"Gustavo Tavernini"
"Grigor Dimitrov","Bulgaria",1150,25,191,80,"Right-Handed","One-Handed",2008,4,6213479,"Franco Davin"
"Sam Querrey","USA",1135,28,198,95,"Right-Handed","Two-Handed",2006,8,6915375,"Craig Boynton"
"Andreas Seppi","Italy",1095,32,191,75,"Right-Handed","Two-Handed",2002,3,7775986,"Massimo Sartori"
"Marcos Baghdatis","Cyprus",1067,30,178,82,"Right-Handed","Two-Handed",2003,4,7016844,"Dejan Vojnovic"
"Andrey Kuznetsov","Russia",1063,25,185,71,"Right-Handed","Two-Handed",2008,0,1749247,"Alexander Kuznetsov"
"Alexander Zverev","Germany",1060,19,198,86,"Right-Handed","Two-Handed",2013,0,937715,"Alexander Zverev Sr."
"Gilles Muller","Luxembourg",1020,33,193,88,"Left-Handed","Two-Handed",2001,0,3450903,"Alexandre Lisiecki"
"Pablo Carreno Busta","Spain",995,24,188,74,"Right-Handed","Two-Handed",2009,0,1749368,"Samuel Lopez"
"Nicolas Mahut","France",976,34,191,80,"Right-Handed","One-Handed",2000,3,6267455,"Thierry Ascione"
"Martin Klizan","Slovakia",960,26,191,75,"Left-Handed","Two-Handed",2007,4,3307028,"Martin Hromec"
"Vasek Pospisil","Canada",955,25,193,84,"Right-Handed","Two-Handed",2007,0,3915072,"Frederic Fontang"
"Borna Coric","Croatia",935,19,185,79,"Right-Handed","Two-Handed",2013,0,1241963,"Miles Maclagan"
"Guido Pella","Argentina",899,26,185,83,"Left-Handed","Two-Handed",2007,0,1088046,"Gustavo Marcaccio"
"Nicolas Almagro","Spain",899,30,183,84,"Right-Handed","One-Handed",2003,13,9841303,"Samuel Lopez"
"Ricardas Berankis","Lithuania",885,25,191,88,"Left-Handed","Two-Handed",2007,2,2076174,"Rainer Schuettler"
