"id","Set","P1_score","P2_score"
1,1,2,6
1,2,6,2
1,3,6,4
2,1,1,6
2,2,2,6
2,3,3,6
3,1,5,7
3,2,6,3
3,3,6,7
4,1,0,6
4,2,1,6
5,1,6,3
5,2,4,6
5,3,6,3
6,1,4,6
6,2,6,3
6,3,0,6
7,1,6,4
7,2,2,6
7,3,3,6
8,1,6,7
8,2,3,6
9,1,1,6
9,2,6,7
10,1,6,3
10,2,6,7
10,3,7,6
11,1,6,2
11,2,6,2
12,1,7,5
12,2,3,6
12,3,7,6
13,1,6,1
13,2,6,4
14,1,6,4
14,2,3,6
14,3,7,5
15,1,6,2
15,2,4,6
15,3,2,6
16,1,7,6
16,2,3,6
16,3,3,6
17,1,6,3
17,2,3,6
17,3,2,6
18,1,6,4
18,2,4,6
18,3,6,2
19,1,2,6
19,2,6,3
19,3,6,4
20,1,3,6
20,2,3,6
21,1,7,6
21,2,7,6
22,1,5,7
22,2,6,7
23,1,7,6
23,2,2,6
23,3,0,6
23,4,6,2
23,5,4,6
24,1,2,6
24,2,4,6
25,1,7,6
25,2,0,6
25,3,5,7
26,1,4,6
26,2,1,6
27,1,3,6
27,2,2,6
28,1,6,7
28,2,6,7
29,1,3,6
29,2,6,3
29,3,5,7
30,1,3,6
30,2,4,6
31,1,7,5
31,2,6,2
32,1,3,6
32,2,7,6
32,3,3,6
33,1,6,4
33,2,6,4
34,1,6,7
34,2,7,6
34,3,6,3
35,1,6,1
35,2,5,3
36,1,6,3
36,2,6,4
37,1,2,6
37,2,2,6
38,1,1,6
38,2,3,6
39,1,5,7
39,2,3,6
39,3,7,6
39,4,3,6
40,1,6,7
40,2,4,6
40,3,4,6
41,1,6,1
41,2,4,6
41,3,3,6
42,1,6,4
42,2,6,1
43,1,1,6
43,2,5,7
44,1,4,6
44,2,3,6
45,1,6,2
45,2,6,4
46,1,6,2
46,2,5,7
46,3,6,1
47,1,6,4
47,2,6,7
47,3,6,7
47,4,6,2
47,5,3,6
48,1,5,7
48,2,6,1
48,3,6,0
49,1,6,7
49,2,6,1
49,3,6,2
50,1,6,4
50,2,6,4
51,1,3,6
51,2,6,1
51,3,6,7
52,1,7,5
52,2,5,7
52,3,6,2
53,1,6,4
53,2,6,4
54,1,2,6
54,2,2,6
55,1,6,4
55,2,6,4
56,1,3,6
56,2,7,5
56,3,3,6
57,1,7,6
57,2,6,7
57,3,6,2
57,4,1,6
57,5,2,6
58,1,1,6
58,2,6,3
58,3,4,6
59,1,3,6
59,2,2,6
60,1,6,4
60,2,1,6
60,3,7,5
61,1,7,5
61,2,1,6
61,3,1,6
62,1,2,6
62,2,2,6
62,3,3,6
63,1,6,3
63,2,3,6
63,3,4,6
64,1,6,2
64,2,6,4
64,3,6,4
65,1,3,6
65,2,6,3
65,3,4,6
66,1,6,3
66,2,6,3
67,1,2,6
67,2,6,4
67,3,0,6
68,1,7,5
68,2,4,6
68,3,6,3
69,1,6,2
69,2,6,4
70,1,6,1
70,2,6,1
71,1,6,2
71,2,6,4
72,1,7,6
72,2,6,4
73,1,3,6
73,2,0,3
74,1,6,7
74,2,6,7
75,1,6,7
75,2,3,6
76,1,7,6
76,2,6,7
76,3,3,6
76,4,3,6
77,1,6,4
77,2,6,4
78,1,6,0
78,2,6,3
79,1,6,3
79,2,6,4
80,1,6,3
80,2,6,4
81,1,4,6
81,2,3,6
82,1,6,4
82,2,3,6
82,3,4,6
83,1,4,6
83,2,5,7
84,1,7,6
84,2,4,6
84,3,6,2
84,4,4,6
84,5,1,6
85,1,0,1
86,1,3,6
86,2,2,6
87,1,6,4
87,2,1,6
87,3,7,6
88,1,6,4
88,2,7,6
89,1,7,5
89,2,3,6
89,3,4,6
89,4,7,6
89,5,11,13
90,1,6,4
90,2,7,6
91,1,6,7
91,2,6,2
91,3,6,4
91,4,6,4
92,1,4,6
92,2,1,6
93,1,6,3
93,2,6,7
93,3,5,7
