"Name","Won_Loss","perc_SPW","Aces","DFs","perc_RPW","perc_BPOC","Tiebreak_WL","season"
"Novak Djokovic","8-4","66.4"," 78","14","37.7"," 41.5","3-3","2014"
"Andy Murray","3-3","61.7"," 26","14","36.5"," 43.9","0-2","2014"
"Roger Federer","11-2","70.2","107","15","35.4"," 39.5","3-2","2014"
"Stanislas Wawrinka","3-2","65.6"," 44","14","32.6"," 33.3","3-2","2014"
"Rafael Nadal","7-0","68.2"," 17","12","44.3"," 45.0","2-0","2014"
"Kei Nishikori","6-5","63.1"," 50","33","36.7"," 46.2","3-1","2014"
"Jo-Wilfried Tsonga","2-0","76.0"," 17"," 7","40.7"," 29.4","1-0","2014"
"Tomas Berdych","5-3","71.4"," 62","21","35.9"," 53.1","2-2","2014"
"David Ferrer","4-5","63.9"," 24","22","39.6"," 35.9","1-3","2014"
"Richard Gasquet","2-2","68.3"," 19"," 6","31.7"," 41.7","3-0","2014"
"Milos Raonic","3-3","68.4"," 78","17","31.1"," 40.0","1-1","2014"
"Marin Cilic","5-1","67.5"," 61","17","39.9"," 33.3","1-1","2014"
"David Goffin","3-0","65.7"," 32","10","39.7"," 33.3","1-0","2014"
"Gael Monfils","2-2","65.1"," 37"," 9","40.0"," 30.0","0-1","2014"
"Dominic Thiem","1-0","71.4","  6"," 0","55.1"," 71.4","0-0","2014"
"John Isner","2-2","64.6"," 42","11","32.4"," 28.6","2-1","2014"
"Roberto Bautista Agut","3-2","64.9"," 14","10","35.7"," 44.0","1-1","2014"
"Gilles Simon","1-2","66.7","  9"," 4","34.9"," 42.9","1-0","2014"
"Kevin Anderson","2-0","75.2"," 32"," 3","38.1"," 28.6","0-0","2014"
"Bernard Tomic","2-1","65.6"," 33"," 4","34.0"," 41.2","2-2","2014"
"Feliciano Lopez","2-2","67.1"," 33","15","26.1"," 20.0","2-1","2014"
"Viktor Troicki","0-1","53.3","  5"," 4","30.0","100.0","0-0","2014"
"Pablo Cuevas","2-0","68.1"," 13"," 5","42.7"," 35.7","1-0","2014"
"Jack Sock","0-2","57.6"," 12"," 7","24.5","  0.0","0-0","2014"
"Philipp Kohlschreiber","1-4","64.8"," 22","11","35.3"," 33.3","0-2","2014"
"Alexandr Dolgopolov","1-2","60.0"," 13"," 5","31.3"," 36.4","0-0","2014"
"Grigor Dimitrov","4-3","65.3"," 45","22","33.5"," 34.2","2-2","2014"
"Fabio Fognini","3-2","59.2"," 16","16","36.8"," 36.6","1-0","2014"
"Ivo Karlovic","4-1","73.0"," 87","13","29.1"," 41.2","2-1","2014"
"Steve Johnson","0-1","60.0","  6"," 3","28.6","  0.0","0-0","2014"
"Jeremy Chardy","0-2","64.7","  9","11","32.8"," 28.6","1-2","2014"
"Joao Sousa","2-1","61.2"," 11"," 6","38.1"," 32.1","1-1","2014"
"Thomaz Bellucci","0-1","66.0","  6"," 6","28.3","100.0","1-0","2014"
"Federico Delbonis","2-1","62.4"," 10","10","36.4"," 47.4","0-1","2014"
"Sam Querrey","0-3","63.5"," 33","10","30.6"," 19.0","0-1","2014"
"Borna Coric","0-1","64.6"," 10"," 7","31.0"," 33.3","0-0","2014"
"Martin Klizan","1-1","60.2"," 10"," 4","40.5"," 45.5","0-0","2014"
"Vasek Pospisil","1-1","66.3"," 13"," 8","35.6"," 21.1","0-1","2014"
"Leonardo Mayer","2-0","71.2"," 12"," 4","40.0"," 70.0","1-0","2014"
"Alexander Zverev","0-1","37.5","  3"," 3","25.6","  0.0","0-0","2014"
"Novak Djokovic","15-0","68.5","74","23","43.8","48.6","4-0","2015"
"Andy Murray","7-5","63.7","87","21","38.2","50.0","1-2","2015"
"Roger Federer","11-0","73.6","72","15","39.1","44.0","3-0","2015"
"Stanislas Wawrinka","4-5","63.2","72","20","31.9","32.7","4-2","2015"
"Rafael Nadal","6-4","64.4","15","20","39.8","39.2","3-0","2015"
"Kei Nishikori","4-5","64.4","31","22","34.2","34.6","3-2","2015"
"Jo-Wilfried Tsonga","2-1","68.1","32"," 6","34.2","16.7","1-1","2015"
"Tomas Berdych","5-4","64.0","42","20","38.4","56.4","1-1","2015"
"David Ferrer","5-4","63.3","14","21","38.5","40.4","3-2","2015"
"Richard Gasquet","2-3","60.5","17","12","33.8","35.7","1-2","2015"
"Milos Raonic","2-2","74.8","77"," 8","25.6","13.3","3-3","2015"
"Marin Cilic","1-4","59.3","55","20","33.5","31.4","1-1","2015"
"David Goffin","2-1","72.3","16"," 8","34.2","33.3","1-0","2015"
"Gael Monfils","1-6","62.2","47","22","32.3","25.0","1-1","2015"
"Dominic Thiem","3-2","66.4","35","11","36.3","34.3","1-3","2015"
"John Isner","2-2","68.4","75"," 7","26.1","38.5","1-2","2015"
"Roberto Bautista Agut","2-5","63.6","22","12","33.9","25.6","1-2","2015"
"Gilles Simon","2-2","62.1","14"," 4","29.6","66.7","1-0","2015"
"Kevin Anderson","3-3","70.0","93"," 8","31.5","34.6","0-3","2015"
"Nick Kyrgios","1-1","69.8","28"," 7","30.1","37.5","1-2","2015"
"Benoit Paire","2-0","60.9","15"," 7","42.9","53.3","0-0","2015"
"Bernard Tomic","1-1","63.1","36"," 1","35.1","27.8","1-1","2015"
"Feliciano Lopez","2-1","65.9","29","17","32.5","33.3","5-0","2015"
"Viktor Troicki","2-1","66.7","42"," 5","33.2","28.6","1-2","2015"
"Pablo Cuevas","2-1","60.4"," 8"," 0","44.6","70.6","0-0","2015"
"Jack Sock","2-2","67.7","25","12","33.2","31.8","1-1","2015"
"Philipp Kohlschreiber","2-2","66.7","17"," 7","34.8","29.2","1-0","2015"
"Alexandr Dolgopolov","0-2","61.4","13"," 8","34.7","35.7","0-1","2015"
"Grigor Dimitrov","0-2","49.5"," 9"," 2","30.6","22.2","0-0","2015"
"Fabio Fognini","2-1","63.1","11","10","40.8","42.9","1-0","2015"
"Ivo Karlovic","2-3","76.6","98"," 9","27.2","22.2","2-6","2015"
"Steve Johnson","1-3","73.1","49","10","30.1","40.0","1-3","2015"
"Jeremy Chardy","0-1","64.2"," 2"," 3","19.6"," 0.0","0-0","2015"
"Joao Sousa","4-1","65.1","15","11","37.5","36.6","1-1","2015"
"Thomaz Bellucci","1-2","65.1","22","11","34.2","41.7","0-1","2015"
"Federico Delbonis","0-1","62.9"," 0"," 2","37.1","50.0","0-0","2015"
"Sam Querrey","2-1","69.7","65","11","33.8","28.0","0-2","2015"
"Marcos Baghdatis","1-3","61.5","18","10","35.6","41.7","1-1","2015"
"Borna Coric","0-2","54.7"," 2"," 4","35.2"," 7.1","0-0","2015"
"Andreas Seppi","2-2","55.8","10"," 4","36.2","57.1","1-0","2015"
"Gilles Muller","0-4","65.9","41","16","26.1","50.0","1-3","2015"
"Guido Pella","0-0"," 0.0"," 0"," 0"," 0.0"," 0.0","0-0","2015"
"Martin Klizan","1-2","55.4"," 8"," 7","37.2","30.4","0-0","2015"
"Vasek Pospisil","0-1","63.8"," 8"," 1","24.6"," 0.0","0-0","2015"
"Leonardo Mayer","1-1","64.6","17"," 6","32.2","15.4","0-0","2015"
"Nicolas Mahut","1-0","72.2"," 6"," 2","36.2","25.0","0-0","2015"
"Alexander Zverev","0-1","56.6"," 1"," 2","38.2","20.0","0-0","2015"
"Pablo Carreno Busta","0-1","67.9"," 4"," 2","27.1","50.0","0-1","2015"
"Novak Djokovic","6-0","68.1","30"," 8","40.4"," 33.3","5-0","2016"
"Andy Murray","3-1","67.8","26"," 6","39.2"," 40.0","0-1","2016"
"Roger Federer","1-1","61.1","11"," 1","50.9"," 66.7","0-0","2016"
"Stanislas Wawrinka","2-0","66.3","15"," 3","47.3"," 58.3","0-0","2016"
"Rafael Nadal","3-4","64.4","16"," 7","42.6"," 36.0","1-3","2016"
"Kei Nishikori","3-2","65.5","17"," 7","41.3"," 41.4","0-2","2016"
"Jo-Wilfried Tsonga","0-2","58.1","18"," 3"," 0.0","  0.0","0-1","2016"
"Tomas Berdych","0-2","56.9","10"," 4"," 0.0","  0.0","0-1","2016"
"Milos Raonic","2-1","68.5","36","11","32.1","  0.0","3-0","2016"
"Richard Gasquet","1-0","57.8"," 4"," 4","42.3"," 40.0","0-0","2016"
"Marin Cilic","1-0","71.6","22"," 4","40.4"," 33.3","0-1","2016"
