"ID","Year","Surface","Category","Aces_Per_Match","Points_Per_Match","Games_Per_Match","City"
"ATP WT Finals",2016,"Hard","Masters 1000",0,0,0,"London"
"ATP WT Finals",2015,"Hard","Masters 1000",3.97,131.7,21.5,"London"
"ATP WT Finals",2014,"Hard","Masters 1000",4.07,128.7,19.9,"London"
"ATP WT Finals",2013,"Hard","Masters 1000",6.1,161,25.7,"London"
"ATP WT Finals",2012,"Hard","Masters 1000",5.43,155.1,24.3,"London"
"ATP WT Finals",2011,"Hard","Masters 1000",5.47,157,25,"London"
"Australian Open",2016,"Hard","Grand Slam",11.02,227,35.9,"Melbourne"
"Australian Open",2015,"Hard","Grand Slam",10.91,228.1,36.3,"Melbourne"
"Australian Open",2014,"Hard","Grand Slam",9.76,223.2,35.5,"Melbourne"
"Australian Open",2013,"Hard","Grand Slam",9.18,226.7,36,"Melbourne"
"Australian Open",2012,"Hard","Grand Slam",7.64,218.7,34.5,"Melbourne"
"Australian Open",2011,"Hard","Grand Slam",8.49,213.4,33.7,"Melbourne"
"Canadian Open",2016,"Hard","Masters 1000",0,0,0,"Toronto"
"Canadian Open",2015,"Hard","Masters 1000",0,0,0,"Montreal"
"Canadian Open",2014,"Hard","Masters 1000",6.94,157.4,25.4,"Toronto"
"Canadian Open",2013,"Hard","Masters 1000",0,0,0,"Montreal"
"Canadian Open",2012,"Hard","Masters 1000",5.45,141.4,22.2,"Toronto"
"Canadian Open",2011,"Hard","Masters 1000",0,0,0,"Montreal"
"Cincinnati Masters",2016,"Hard","Masters 1000",0,0,0,"Cincinnati"
"Cincinnati Masters",2015,"Hard","Masters 1000",7.05,146.8,23.7,"Cincinnati"
"Cincinnati Masters",2014,"Hard","Masters 1000",6.52,151.5,24.2,"Cincinnati"
"Cincinnati Masters",2013,"Hard","Masters 1000",6.48,144.3,22.5,"Cincinnati"
"Cincinnati Masters",2012,"Hard","Masters 1000",5.51,130.6,20.4,"Cincinnati"
"Cincinnati Masters",2011,"Hard","Masters 1000",5.75,139.1,22.1,"Cincinnati"
"French Open",2016,"Clay","Masters 1000",0,0,0,"Paris"
"French Open",2015,"Clay","Masters 1000",6.28,218.3,34.7,"Paris"
"French Open",2014,"Clay","Masters 1000",6.1,208.5,33,"Paris"
"French Open",2013,"Clay","Masters 1000",6.39,223,35.1,"Paris"
"French Open",2012,"Clay","Masters 1000",6.59,223.2,35.2,"Paris"
"French Open",2011,"Clay","Masters 1000",6.12,219.2,34.5,"Paris"
"Indian Wells Masters",2016,"Hard","Masters 1000",4.68,145,22.6,"Indian Wells"
"Indian Wells Masters",2015,"Hard","Masters 1000",5.82,144.8,23.1,"Indian Wells"
"Indian Wells Masters",2014,"Hard","Masters 1000",5.26,149.6,23.7,"Indian Wells"
"Indian Wells Masters",2013,"Hard","Masters 1000",4.35,145.2,22.9,"Indian Wells"
"Indian Wells Masters",2012,"Hard","Masters 1000",4.64,151.9,23.7,"Indian Wells"
"Indian Wells Masters",2011,"Hard","Masters 1000",5.28,144.1,22.8,"Indian Wells"
"Italian Open",2016,"Clay","Masters 1000",4.17,147.3,23.3,"Rome"
"Italian Open",2015,"Clay","Masters 1000",5.13,144.7,22.4,"Rome"
"Italian Open",2014,"Clay","Masters 1000",4.31,146.6,23.1,"Rome"
"Italian Open",2013,"Clay","Masters 1000",4.14,139.9,22.1,"Rome"
"Italian Open",2012,"Clay","Masters 1000",2.99,141.1,22.1,"Rome"
"Italian Open",2011,"Clay","Masters 1000",3.39,137.1,21.5,"Rome"
"Madrid Open",2016,"Clay","Masters 1000",5.6,155.9,24.9,"Madrid"
"Madrid Open",2015,"Clay","Masters 1000",5.6,144.7,23.3,"Madrid"
"Madrid Open",2014,"Clay","Masters 1000",5.1,142.2,22.6,"Madrid"
"Madrid Open",2013,"Clay","Masters 1000",4.39,152.3,23.5,"Madrid"
"Madrid Open",2012,"Clay","Masters 1000",6.01,150.7,24.1,"Madrid"
"Madrid Open",2011,"Clay","Masters 1000",4.94,150.5,23.5,"Madrid"
"Miami Open",2016,"Hard","Masters 1000",5.34,143.4,22.6,"Key Biscayne"
"Miami Open",2015,"Hard","Masters 1000",5.12,150.6,23.8,"Key Biscayne"
"Miami Open",2014,"Hard","Masters 1000",5.99,144.2,23.1,"Key Biscayne"
"Miami Open",2013,"Hard","Masters 1000",4.77,143.8,22.4,"Key Biscayne"
"Miami Open",2012,"Hard","Masters 1000",4.89,142.5,22.3,"Key Biscayne"
"Miami Open",2011,"Hard","Masters 1000",5.04,143.6,22.8,"Key Biscayne"
"Monte Carlo Masters",2016,"Clay","Masters 1000",3.65,145.3,22.6,"Monte Carlo"
"Monte Carlo Masters",2015,"Clay","Masters 1000",3.48,140.4,21.6,"Monte Carlo"
"Monte Carlo Masters",2014,"Clay","Masters 1000",3.27,143.6,22.2,"Monte Carlo"
"Monte Carlo Masters",2013,"Clay","Masters 1000",3.25,138.5,21.8,"Monte Carlo"
"Monte Carlo Masters",2012,"Clay","Masters 1000",2.8,127.3,19.9,"Monte Carlo"
"Monte Carlo Masters",2011,"Clay","Masters 1000",2.65,138.3,21.1,"Monte Carlo"
"Paris Masters",2016,"Hard","Masters 1000",0,0,0,"Paris"
"Paris Masters",2015,"Hard","Masters 1000",6.52,149,23.5,"Paris"
"Paris Masters",2014,"Hard","Masters 1000",6.57,146.8,23.3,"Paris"
"Paris Masters",2013,"Hard","Masters 1000",7.17,153.9,24,"Paris"
"Paris Masters",2012,"Hard","Masters 1000",6.74,140.6,22.2,"Paris"
"Paris Masters",2011,"Hard","Masters 1000",5.63,137.6,21.6,"Paris"
"Shanghai Masters",2016,"Hard","Masters 1000",0,0,0,"Shanghai"
"Shanghai Masters",2015,"Hard","Masters 1000",7.41,152.6,24,"Shanghai"
"Shanghai Masters",2014,"Hard","Masters 1000",7.62,149.4,23.9,"Shanghai"
"Shanghai Masters",2013,"Hard","Masters 1000",7.41,139.8,22.4,"Shanghai"
"Shanghai Masters",2012,"Hard","Masters 1000",5.96,138.7,22,"Shanghai"
"Shanghai Masters",2011,"Hard","Masters 1000",5.63,152.8,24,"Shanghai"
"US Open",2016,"Hard","Grand Slam",0,0,0,"New York City"
"US Open",2015,"Hard","Grand Slam",9.63,214.9,34.6,"New York City"
"US Open",2014,"Hard","Grand Slam",9.32,218.3,34.7,"New York City"
"US Open",2013,"Hard","Grand Slam",8.78,226.2,35.7,"New York City"
"US Open",2012,"Hard","Grand Slam",9.63,231.4,36.8,"New York City"
"US Open",2011,"Hard","Grand Slam",7.39,210,33.1,"New York City"
"Wimbledon",2016,"Grass","Grand Slam",0,0,0,"London"
"Wimbledon",2015,"Grass","Grand Slam",11.89,228.6,37.8,"London"
"Wimbledon",2014,"Grass","Grand Slam",12.79,232.1,37.6,"London"
"Wimbledon",2013,"Grass","Grand Slam",10.88,217,34.9,"London"
"Wimbledon",2012,"Grass","Grand Slam",10.95,231.5,37.7,"London"
"Wimbledon",2011,"Grass","Grand Slam",10.06,218.6,35.2,"London"
