"Indeks inflacije po: MESEC , INDEKS"

" ";"Meseèni indeks (mesec / prejšnji mesec)";"Letni indeks (mesec / isti mesec prejšnjega leta)";"Povpreèni letni indeks"
"2016M03";100.7;99.1;99.3
"2016M02";100.0;99.3;99.4
"2016M01";98.6;99.5;99.5
"2015M12";99.6;99.5;99.5
"2015M11";100.1;99.5;99.5
"2015M10";100.0;99.2;99.5
"2015M09";99.9;99.4;99.5
"2015M08";100.1;99.7;99.5
"2015M07";99.2;99.6;99.5
"2015M06";99.9;99.3;99.5
"2015M05";100.8;99.5;99.5
"2015M04";100.1;99.3;99.5
"2015M03";100.9;99.7;99.6
"2015M02";100.2;99.6;99.6
"2015M01";98.7;99.5;99.5
"2014M12";99.5;100.2;100.2
"2014M11";99.8;99.8;100.2
"2014M10";100.2;99.9;100.3
"2014M09";100.3;99.7;100.3
"2014M08";100.0;99.7;100.4
"2014M07";98.9;100.0;100.5
"2014M06";100.1;100.8;100.6
"2014M05";100.6;100.7;100.5
"2014M04";100.5;100.4;100.5
"2014M03";100.8;100.6;100.5
"2014M02";100.1;100.1;100.5
"2014M01";99.4;100.8;100.8
"2013M12";99.1;100.7;101.8
"2013M11";99.9;101.3;101.9
"2013M10";100.0;101.3;101.9
"2013M09";100.3;101.4;102.0
"2013M08";100.3;102.2;102.1
"2013M07";99.7;102.6;102.0
"2013M06";100.0;101.9;101.9
"2013M05";100.3;101.2;102.0
"2013M04";100.7;101.5;102.1
"2013M03";100.3;102.0;102.4
"2013M02";100.8;102.7;102.5
"2013M01";99.2;102.4;102.4
"2012M12";99.7;102.7;102.6
"2012M11";99.9;102.3;102.6
"2012M10";100.1;102.7;102.6
"2012M09";101.1;103.3;102.6
"2012M08";100.7;102.9;102.5
"2012M07";99.0;102.4;102.5
"2012M06";99.4;102.3;102.5
"2012M05";100.6;102.4;102.5
"2012M04";101.1;102.6;102.5
"2012M03";101.0;102.3;102.5
"2012M02";100.6;102.9;102.6
"2012M01";99.5;102.3;102.3
"2011M12";99.4;102.0;101.8
"2011M11";100.3;102.7;101.8
"2011M10";100.7;102.7;101.7
"2011M09";100.6;102.1;101.6
"2011M08";100.3;100.9;101.5
"2011M07";98.9;100.9;101.6
"2011M06";99.5;101.3;101.7
"2011M05";100.8;102.2;101.8
"2011M04";100.8;101.7;101.7
"2011M03";101.6;101.9;101.7
"2011M02";100.0;101.4;101.6
"2011M01";99.2;101.8;101.8
"2010M12";100.1;101.9;101.8
"2010M11";100.3;101.4;101.8
"2010M10";100.1;101.9;101.9
"2010M09";99.5;102.0;101.9
"2010M08";100.3;102.3;101.9
"2010M07";99.3;102.1;101.8
"2010M06";100.3;101.9;101.8
